,User,Played Game,Game Recommended,Year,Cluster,Score,Weighted Score,Total Ratings
0,50818751,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,176414861,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,119430691,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,114030647,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,164583377,Team Fortress 2,TrackMania Nations Forever,2008,3,0.87,0.86,9496
0,148362155,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,153017703,Team Fortress 2,TrackMania Nations Forever,2008,3,0.87,0.86,9496
0,256896099,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,78053539,Team Fortress 2,TrackMania Nations Forever,2008,3,0.87,0.86,9496
0,168087108,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,102263723,Stronghold Kingdoms,Lords of the Realm II,2015,4,0.95,0.79,410
0,140488802,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,106578843,Counter-Strike,Ricochet,2000,3,0.8,0.78,3442
0,148619573,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,102836023,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,94851051,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,87040683,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,100942835,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,38317154,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,91303257,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,42492910,Counter-Strike,Ricochet,2000,3,0.8,0.78,3442
0,142489812,Europa Universalis IV,NOBUNAGA'S AMBITION: Tendou with Power Up Kit / 信長の野望・天道 with パワーアップキット,2015,1,0.67,0.71,49
0,91687359,Counter-Strike,Ricochet,2000,3,0.8,0.78,3442
0,138919253,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,112192991,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,137334839,Team Fortress 2,TrackMania Nations Forever,2008,3,0.87,0.86,9496
0,108315158,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,134641355,Borderlands 2,Killing Floor,2009,0,0.95,0.95,56359
0,104830836,APB Reloaded,America's Army 3,2009,3,0.68,0.69,2238
0,58289184,PAYDAY 2,Serious Sam 2,2012,3,0.88,0.86,6055
0,188448131,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,231406506,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,93478035,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,29730534,Counter-Strike,Ricochet,2000,3,0.8,0.78,3442
0,85458882,Team Fortress 2,TrackMania Nations Forever,2008,3,0.87,0.86,9496
0,82263745,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,102111851,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,75598925,Left 4 Dead 2,Serious Sam HD: The First Encounter,2009,3,0.94,0.9,4219
0,153156310,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,197579025,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,198918504,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,132196353,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,121291260,Prime World,Games of Glory,2017,4,0.56,0.65,582
0,24919113,Counter-Strike,Ricochet,2000,3,0.8,0.78,3442
0,134223421,Team Fortress 2,TrackMania Nations Forever,2008,3,0.87,0.86,9496
0,155673786,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,82436907,Warframe,Sven Co-op,2016,4,0.91,0.9,13384
0,92593907,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,140408017,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,99074324,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,143917036,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,125912054,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,144153802,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,141023389,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,109393227,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,52567955,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,52567955,Counter-Strike,Ricochet,2000,3,0.8,0.78,3442
0,107574541,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,127628725,Arma 3,TT Isle of Man,2018,1,0.69,0.7,668
0,162319568,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,155061850,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,156946266,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,124661390,Team Fortress 2,TrackMania Nations Forever,2008,3,0.87,0.86,9496
0,120308479,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,66596291,War Thunder,Call of War,2017,4,0.5,0.59,1375
0,47457723,Team Fortress 2,TrackMania Nations Forever,2008,3,0.87,0.86,9496
0,93300963,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,153382649,Team Fortress 2,TrackMania Nations Forever,2008,3,0.87,0.86,9496
0,48525807,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,139171297,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,124739366,Team Fortress 2,TrackMania Nations Forever,2008,3,0.87,0.86,9496
0,123483924,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,122274197,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,141706846,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,162288536,Arma 3,TT Isle of Man,2018,1,0.69,0.7,668
0,180236782,Team Fortress 2,TrackMania Nations Forever,2008,3,0.87,0.86,9496
0,58481977,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,186069406,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,994489,Counter-Strike,Ricochet,2000,3,0.8,0.78,3442
0,102376253,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,19062398,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,145202608,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,92940732,Counter-Strike,Ricochet,2000,3,0.8,0.78,3442
0,53901705,Team Fortress 2,TrackMania Nations Forever,2008,3,0.87,0.86,9496
0,71871620,Counter-Strike,Ricochet,2000,3,0.8,0.78,3442
0,91807066,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,136190090,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,130678525,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,125682446,Grand Theft Auto V,Steep™,2016,0,0.75,0.75,10405
0,16231773,Counter-Strike,Ricochet,2000,3,0.8,0.78,3442
0,191576449,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,178003047,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,139074732,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,213854339,Eastside Hockey Manager,Don Bradman Cricket 14,2014,0,0.9,0.78,496
0,194872360,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,80511960,Garry's Mod,Blockland,2013,3,0.72,0.72,5150
0,112845094,Dota 2,Games of Glory,2017,4,0.56,0.65,582
0,112845094,DayZ,Generation Zero,2019,1,0.45,0.51,3050
0,157314597,Dota 2,Games of Glory,2017,4,0.56,0.65,582
